
"(-10--9) to Total Mana (Prefix)","스킬의 총 마나 소모 (-10--9) (접두어)"
"(10-12)% chance to Avoid Elemental Damage from Hits during Soul Gain Prevention (Suffix)","영혼 획득 방지 중 (10-12)%의 확률로 피격 시 원소 피해 긴급회피 (접미어)"
"(100-109)% increased Cold Damage/(35-40)% chance to Freeze (Prefix)","냉기 피해 (100-109)% 증가/(35-40)%의 확률로 동결 유발 (접두어)"
"(100-109)% increased Fire Damage/(35-40)% chance to Ignite (Prefix)","화염 피해 (100-109)% 증가/(35-40)%의 확률로 점화 유발 (접두어)"
"(100-109)% increased Lightning Damage/(35-40)% chance to Shock (Prefix)","번개 피해 (100-109)% 증가/(35-40)%의 확률로 감전 유발 (접두어)"
"(100-109)% increased Spell Damage/(36-40)% increased Mana Regeneration Rate (Prefix)","주문 피해 (100-109)% 증가/마나 재생 속도 (36-40)% 증가 (접두어)"
"(12-14)% chance to deal Double Damage (Suffix)","(12-14)%의 확률로 2배의 피해를 줌 (접미어)"
"(12-15)% increased Attack Speed while a Rare or Unique Enemy is Nearby (Suffix)","주변에 희귀 또는 고유 적이 있는 경우 공격 속도 (12-15)% 증가 (접미어)"
"(120-139)% increased Physical Damage/(21-25)% chance to Blind Enemies on hit (Prefix)","물리 피해 (120-139)% 증가/명중 시 (21-25)%의 확률로 적 실명 유발 피해 물리 공격 (접두어)"
"(120-139)% increased Physical Damage/(21-25)% chance to cause Bleeding on Hit (Prefix)","물리 피해 (120-139)% 증가/명중 시 (21-25)%의 확률로 출혈 유발 (접두어)"
"(120-139)% increased Physical Damage/(21-25)% chance to Impale Enemies on Hit with Attacks (Prefix)","물리 피해 (120-139)% 증가/공격 명중 시 (21-25)%의 확률로 적 꿰뚫음 (접두어)"
"(120-139)% increased Physical Damage/(21-25)% chance to Poison on Hit (Prefix)","물리 피해 (120-139)% 증가/명중 시 (21-25)%의 확률로 중독 유발 (접두어)"
"(13-15)% additional Physical Damage Reduction while Focused (Prefix)","집중하는 동안 받는 물리 피해 (13-15)% 추가 감소 (접두어)"
"(13-16)% increased Cooldown Recovery Rate (Suffix)","재사용 대기시간 회복 속도 (13-16)% 증가 (접미어)"
"(14-16)% increased Area of Effect/(17-20)% increased Area Damage (Prefix)","효과 범위 (14-16)% 증가/범위 피해 (17-20)% 증가 (접두어)"
"(14-16)% increased Mine Throwing Speed (Suffix)","지뢰 투척 속도 (14-16)% 증가 (접미어)"
"(14-16)% increased Trap Throwing Speed (Suffix)","덫 투척 속도 (14-16)% 증가 (접미어)"
"(17-20)% increased Melee Damage/+2 to Melee Strike Range (Prefix)","근접 피해 (17-20)% 증가/근접 타격 범위 +2 (접두어)"
"(17-20)% increased Melee Damage/+0.2 metres to Melee Strike Range (Prefix)","근접 피해 (17-20)% 증가/근접 타격 범위 +0.2미터 (접두어)"
"(18-20)% chance to deal Double Damage while Focused (Suffix)","집중하는 동안 (18-20)%의 확률로 2배의 피해를 줌 (접미어)"
